id,order_id,product_id,order_date,delivery_date,order_quantity,planned_quantity,shipped_quantity,shipped_remaining_quantity,planned_progress_quantity,remaining_quantity,status,customer_code,customer_name,delivery_location,priority,notes,created_at,updated_at
4914,ORD-20251001-V053143615,2,2025-10-01,2025-10-01,57,60,0,0,3,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4915,ORD-20251002-V053143615,2,2025-10-02,2025-10-02,72,72,0,0,3,72,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 72→72)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4916,ORD-20251003-V053143615,2,2025-10-03,2025-10-03,57,60,0,0,6,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4917,ORD-20251006-V053143615,2,2025-10-06,2025-10-06,72,72,0,0,6,72,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 72→72)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4918,ORD-20251007-V053143615,2,2025-10-07,2025-10-07,57,60,0,0,9,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4919,ORD-20251008-V053143615,2,2025-10-08,2025-10-08,60,60,0,0,9,60,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 60→60)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4920,ORD-20251009-V053143615,2,2025-10-09,2025-10-09,57,60,0,0,12,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4921,ORD-20251010-V053143615,2,2025-10-10,2025-10-10,72,72,0,0,12,72,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 72→72)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4922,ORD-20251014-V053143615,2,2025-10-14,2025-10-14,42,42,0,-42,12,42,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 42→42)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4923,ORD-20251015-V053143615,2,2025-10-15,2025-10-15,57,60,0,-99,15,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4924,ORD-20251016-V053143615,2,2025-10-16,2025-10-16,57,60,0,-156,18,57,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4925,ORD-20251017-V053143615,2,2025-10-17,2025-10-17,30,30,0,-186,18,30,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 30→30)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4926,ORD-20251020-V053143615,2,2025-10-20,2025-10-20,24,24,0,-210,18,24,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 24→24)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4927,ORD-20251021-V053143615,2,2025-10-21,2025-10-21,81,84,0,-291,21,81,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 81→81)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4928,ORD-20251022-V053143615,2,2025-10-22,2025-10-22,63,66,0,-354,24,63,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 63→63)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4929,ORD-20251023-V053143615,2,2025-10-23,2025-10-23,78,78,0,-432,24,78,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 78→78)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4930,ORD-20251024-V053143615,2,2025-10-24,2025-10-24,66,66,0,-498,24,66,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 66→66)","2025-10-13 05:46:45","2025-10-15 00:56:58"
4931,ORD-20251027-V053143615,2,2025-10-27,2025-10-27,69,60,0,-567,15,69,計画済,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 69→69)","2025-10-13 05:46:45","2025-10-15 00:56:58"
