データＮＯ,工場,取引先,日程ライン圧縮,計算日,生産完了日,工場（変更対応）,品区,品番,A/C,加工内容,品名,納入場所,箱種,収容数,まとめ区分,形態区分,検査区分,手配区分,定期補充区分,リードタイム,定点日数,出荷工場,取引先品番,レコード識別,スタート月度,初月度（指示）数合計,初月度(指示日/指示数)1,初月度(指示日/指示数)2,初月度(指示日/指示数)3,初月度(指示日/指示数)4,初月度(指示日/指示数)5,初月度(指示日/指示数)6,初月度(指示日/指示数)7,初月度(指示日/指示数)8,初月度(指示日/指示数)9,初月度(指示日/指示数)10,初月度(指示日/指示数)11,初月度(指示日/指示数)12,初月度(指示日/指示数)13,初月度(指示日/指示数)14,初月度(指示日/指示数)15,初月度(指示日/指示数)16,初月度(指示日/指示数)17,初月度(指示日/指示数)18,初月度(指示日/指示数)19,初月度(指示日/指示数)20,初月度(指示日/指示数)21,初月度(指示日/指示数)22,初月度(指示日/指示数)23,初月度(指示日/指示数)24,初月度(指示日/指示数)25,初月度(指示日/指示数)26,初月度(指示日/指示数)27,初月度(指示日/指示数)28,初月度(指示日/指示数)29,初月度(指示日/指示数)30,初月度(指示日/指示数)31,次月度(指示）数合計,次月度(指示日/指示数）1,次月度(指示日/指示数）2,次月度(指示日/指示数）3,次月度(指示日/指示数）4,次月度(指示日/指示数）5,次月度(指示日/指示数）6,次月度(指示日/指示数）7,次月度(指示日/指示数）8,次月度(指示日/指示数）9,次月度(指示日/指示数）10,次月度(指示日/指示数）11,次月度(指示日/指示数）12,次月度(指示日/指示数）13,次月度(指示日/指示数）14,次月度(指示日/指示数）15,次月度(指示日/指示数）16,次月度(指示日/指示数）17,次月度(指示日/指示数）18,次月度(指示日/指示数）19,次月度(指示日/指示数）20,次月度(指示日/指示数）21,次月度(指示日/指示数）22,次月度(指示日/指示数）23,次月度(指示日/指示数）24,次月度(指示日/指示数）25,次月度(指示日/指示数）26,次月度(指示日/指示数）27,次月度(指示日/指示数）28,次月度(指示日/指示数）29,次月度(指示日/指示数）30,次月度(指示日/指示数）31,次々月度(指示)数合計,次々月度(指示日/指示数）1,次々月度(指示日/指示数）2,次々月度(指示日/指示数）3,次々月度(指示日/指示数）4,次々月度(指示日/指示数）5,次々月度(指示日/指示数）6,次々月度(指示日/指示数）7,次々月度(指示日/指示数）8,次々月度(指示日/指示数）9,次々月度(指示日/指示数）10,次々月度(指示日/指示数）11,次々月度(指示日/指示数）12,次々月度(指示日/指示数）13,次々月度(指示日/指示数）14,次々月度(指示日/指示数）15,次々月度(指示日/指示数）16,次々月度(指示日/指示数）17,次々月度(指示日/指示数）18,次々月度(指示日/指示数）19,次々月度(指示日/指示数）20,次々月度(指示日/指示数）21,次々月度(指示日/指示数）22,次々月度(指示日/指示数）23,次々月度(指示日/指示数）24,次々月度(指示日/指示数）25,次々月度(指示日/指示数）26,次々月度(指示日/指示数）27,次々月度(指示日/指示数）28,次々月度(指示日/指示数）29,次々月度(指示日/指示数）30,次々月度(指示日/指示数）31,購買組織,品目グループ,加工区分,在庫転送区分,余白1
36,21,31499,,251011,,,1,V053143521,130,,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),5476,W1,8,,,N,,0,0,0,,,V2,2510,,51001,51002,51003,51004,51005,51006,51007,51008,51009,51010,51011,51012,51013,51014,51015,51016,51017,51018,51019,51020,51021,51022,51023,51024,51025,51026,51027,51028,51029,51030,51031,,51101,51102,51103,51104,51105,51106,51107,51108,51109,51110,51111,51112,51113,51114,51115,51116,51117,51118,51119,51120,51121,51122,51123,51124,51125,51126,51127,51128,51129,51130,,,51201,51202,51203,51204,51205,51206,51207,51208,51209,51210,51211,51212,51213,51214,51215,51216,51217,51218,51219,51220,51221,51222,51223,51224,51225,51226,51227,51228,51229,51230,51231,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053143521,130,,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),5476,W1,8,,,N,,0,0,0,,,V3,2510,1328,56,72,56,0,0,72,64,56,56,72,0,0,0,48,56,56,32,0,0,24,80,64,72,72,0,0,64,56,72,64,64,1000,0,0,0,64,56,56,56,0,0,56,56,64,64,56,0,0,72,64,80,24,56,0,0,64,0,56,56,0,0,0,0,853,56,64,56,56,56,0,0,56,56,64,56,48,0,0,64,56,56,56,53,0,0,0,0,0,0,0,0,0,0,0,0,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053143615,130,,ｽﾃ-(ﾗｼﾞｴ-ﾀ),5476,W2,3,,,N,,0,0,0,,,V2,2510,,51001,51002,51003,51004,51005,51006,51007,51008,51009,51010,51011,51012,51013,51014,51015,51016,51017,51018,51019,51020,51021,51022,51023,51024,51025,51026,51027,51028,51029,51030,51031,,51101,51102,51103,51104,51105,51106,51107,51108,51109,51110,51111,51112,51113,51114,51115,51116,51117,51118,51119,51120,51121,51122,51123,51124,51125,51126,51127,51128,51129,51130,,,51201,51202,51203,51204,51205,51206,51207,51208,51209,51210,51211,51212,51213,51214,51215,51216,51217,51218,51219,51220,51221,51222,51223,51224,51225,51226,51227,51228,51229,51230,51231,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053143615,130,,ｽﾃ-(ﾗｼﾞｴ-ﾀ),5476,W2,3,,,N,,0,0,0,,,V3,2510,1329,57,72,57,0,0,72,57,60,57,72,0,0,0,42,57,57,30,0,0,24,81,63,78,66,0,0,69,57,72,60,69,996,0,0,0,57,57,57,57,0,0,57,60,57,66,60,0,0,66,66,78,27,60,0,0,57,0,57,57,0,0,0,0,858,60,57,57,57,57,0,0,57,60,57,57,51,0,0,60,57,57,60,54,0,0,0,0,0,0,0,0,0,0,0,0,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053103705,130,,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",ZGHC,SP,3,,,NS,,0,0,0,,,V2,2510,,51001,51002,51003,51004,51005,51006,51007,51008,51009,51010,51011,51012,51013,51014,51015,51016,51017,51018,51019,51020,51021,51022,51023,51024,51025,51026,51027,51028,51029,51030,51031,,51101,51102,51103,51104,51105,51106,51107,51108,51109,51110,51111,51112,51113,51114,51115,51116,51117,51118,51119,51120,51121,51122,51123,51124,51125,51126,51127,51128,51129,51130,,,51201,51202,51203,51204,51205,51206,51207,51208,51209,51210,51211,51212,51213,51214,51215,51216,51217,51218,51219,51220,51221,51222,51223,51224,51225,51226,51227,51228,51229,51230,51231,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053103705,130,,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",ZGHC,SP,3,,,NS,,0,0,0,,,V3,2510,54,0,3,3,0,0,3,3,3,3,0,0,0,0,3,0,3,0,0,0,0,3,3,3,9,0,0,6,0,3,3,0,45,0,0,0,3,0,3,3,0,0,3,0,0,3,6,0,0,0,3,6,9,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053104642,130,,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",ZGHC,SP,8,,,N,,0,0,0,,,V2,2510,,51001,51002,51003,51004,51005,51006,51007,51008,51009,51010,51011,51012,51013,51014,51015,51016,51017,51018,51019,51020,51021,51022,51023,51024,51025,51026,51027,51028,51029,51030,51031,,51101,51102,51103,51104,51105,51106,51107,51108,51109,51110,51111,51112,51113,51114,51115,51116,51117,51118,51119,51120,51121,51122,51123,51124,51125,51126,51127,51128,51129,51130,,,51201,51202,51203,51204,51205,51206,51207,51208,51209,51210,51211,51212,51213,51214,51215,51216,51217,51218,51219,51220,51221,51222,51223,51224,51225,51226,51227,51228,51229,51230,51231,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053104642,130,,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",ZGHC,SP,8,,,N,,0,0,0,,,V3,2510,1288,72,48,72,0,0,56,72,56,56,56,0,0,0,72,48,48,32,0,0,0,72,80,64,72,0,0,56,72,56,72,56,992,0,0,0,64,56,56,56,0,0,56,64,56,56,64,0,0,56,64,56,72,48,0,0,0,56,56,56,0,0,0,0,106,56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053904703,130,,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",ZGHC,SP,3,,,NS,,0,0,0,,,V2,2510,,51001,51002,51003,51004,51005,51006,51007,51008,51009,51010,51011,51012,51013,51014,51015,51016,51017,51018,51019,51020,51021,51022,51023,51024,51025,51026,51027,51028,51029,51030,51031,,51101,51102,51103,51104,51105,51106,51107,51108,51109,51110,51111,51112,51113,51114,51115,51116,51117,51118,51119,51120,51121,51122,51123,51124,51125,51126,51127,51128,51129,51130,,,51201,51202,51203,51204,51205,51206,51207,51208,51209,51210,51211,51212,51213,51214,51215,51216,51217,51218,51219,51220,51221,51222,51223,51224,51225,51226,51227,51228,51229,51230,51231,AA01,A011,10,0,
36,21,31499,,251011,,,1,V053904703,130,,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",ZGHC,SP,3,,,NS,,0,0,0,,,V3,2510,1311,69,72,54,0,0,72,54,69,57,57,0,0,0,60,69,45,36,0,0,0,51,78,78,63,0,0,72,60,69,54,72,993,0,0,0,57,66,57,57,0,0,54,57,60,57,54,0,0,63,60,63,60,72,0,0,45,0,54,57,0,0,0,0,166,54,57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AA01,A011,10,0,
