id,calendar_date,day_type,day_name,is_working_day,notes,created_at,updated_at
1,2025-04-01,営業日,火,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
2,2025-04-02,営業日,水,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
3,2025-04-03,営業日,木,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
4,2025-04-04,営業日,金,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
5,2025-04-05,休日,土,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
6,2025-04-06,休日,日,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
7,2025-04-07,営業日,月,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
8,2025-04-08,営業日,火,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
9,2025-04-09,営業日,水,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
10,2025-04-10,営業日,木,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
11,2025-04-11,営業日,金,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
12,2025-04-12,休日,土,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
13,2025-04-13,休日,日,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
14,2025-04-14,営業日,月,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
15,2025-04-15,営業日,火,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
16,2025-04-16,営業日,水,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
17,2025-04-17,営業日,木,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
18,2025-04-18,営業日,金,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
19,2025-04-19,休日,土,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
20,2025-04-20,休日,日,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
21,2025-04-21,営業日,月,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
22,2025-04-22,営業日,火,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
23,2025-04-23,営業日,水,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
24,2025-04-24,営業日,木,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
25,2025-04-25,営業日,金,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
26,2025-04-26,休日,土,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
27,2025-04-27,休日,日,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
28,2025-04-28,祝日,月,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
29,2025-04-29,祝日,火,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
30,2025-04-30,祝日,水,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
31,2025-05-01,祝日,木,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
32,2025-05-02,祝日,金,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
33,2025-05-03,休日,土,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
34,2025-05-04,休日,日,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
35,2025-05-05,祝日,月,0,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
36,2025-05-06,営業日,火,1,NULL,"2025-10-06 19:58:37","2025-10-06 19:58:37"
