id,product_code,capacity,container_width,container_depth,container_height,stackable,can_advance,used_container_id,used_truck_ids
1,V053143521,8,NULL,NULL,NULL,1,0,5,11
2,V053143615,6,NULL,NULL,NULL,1,0,4,11
3,V053103705,3,NULL,NULL,NULL,1,0,1,3
4,V053104642,8,NULL,NULL,NULL,1,1,2,"11,3"
5,V053904703,3,NULL,NULL,NULL,1,1,1,"10,3"
6,V065103703,3,NULL,NULL,NULL,1,0,1,"3,10"
7,V065104642,8,NULL,NULL,NULL,1,0,3,11
8,V065104703,3,NULL,NULL,NULL,1,1,1,"3,10"
,,,,,,,,,
id,name,default_use,arrival_day_offset,priority_product_codes,,,,,
3,NO_2_10T,1,0,V065104703,,,,,
10,NO_4_10T,1,0,V053904703,,,,,
11,NO_3_10T,1,1,NULL,,,,,
12,NO_5_10T,0,1,NULL,,,,,
