積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,重量積載率,,,
2025/10/10,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",15,45,2025/10/10,69.30%,0%,,,
2025/10/10,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025/10/10,69.30%,0%,,,
2025/10/10,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",19,57,2025/10/10,93.70%,0%,,,
2025/10/10,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),6,48,2025/10/14,86.50%,0%,,,
2025/10/10,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),7,42,2025/10/14,86.50%,0%,,,
2025/10/10,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025/10/14,86.50%,0%,,,
2025/10/10,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",9,72,2025/10/14,86.50%,0%,,,
,,,,,,,,,,,
2025/10/14,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025/10/14,77.90%,0%,,,
2025/10/14,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025/10/14,77.90%,0%,,,
2025/10/14,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025/10/14,77.90%,0%,,,
2025/10/14,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025/10/14,93.70%,0%,,,
2025/10/14,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),7,56,2025/10/15,71.00%,0%,,,
