積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,重量積載率,体積積載率(%),重量積載率(%),前倒し配送
,,,,,,,,,,,
,,,,,,,,,,,
2025-10-17,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",5,15,2025-10-17,,,32.1,0,×
2025-10-17,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-17,,,32.1,0,×
2025-10-17,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",2,16,2025-10-17,,,32.1,0,×
2025-10-17,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",8,24,2025-10-17,,,37.5,0,×
,,,,,,,,,,,
2025-10-20,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-20,,,8.7,0,×
,,,,,,,,,,,
2025-10-21,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",7,21,2025-10-22,,,95.2,0,○
2025-10-21,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",12,36,2025-10-21,,,95.2,0,×
2025-10-21,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025-10-21,,,95.2,0,×
2025-10-21,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",17,51,2025-10-21,,,84.3,0,×
2025-10-21,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",9,72,2025-10-21,,,30.8,0,×
,,,,,,,,,,,
2025-10-22,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",6,18,2025-10-23,,,91.4,0,○
2025-10-22,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-22,,,91.4,0,×
2025-10-22,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",6,18,2025-10-22,,,91.4,0,×
2025-10-22,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-22,,,91.4,0,×
2025-10-22,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",10,80,2025-10-22,,,91.4,0,×
2025-10-22,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-22,,,93.7,0,×
2025-10-22,NO_3_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",12,36,2025-10-22,,,52,0,×
,,,,,,,,,,,
