積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,重量積載率,体積積載率(%),重量積載率(%),前倒し配送
,,,,,,,,,,,
2025-10-16,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,16,2025-10-16,,,11.73853525,0.065856,○
2025-10-16,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,39,2025-10-16,,,11.73853525,0.065856,○
,,,,,,,,,,,
2025-10-17,NO_2_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),1,32,2025-10-17,,,11.97189425,0.0671652,×
2025-10-17,NO_2_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),1,30,2025-10-17,,,11.97189425,0.0671652,×
2025-10-17,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-17,,,11.97189425,0.0671652,×
2025-10-17,NO_2_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,16,2025-10-17,,,11.97189425,0.0671652,×
,,,,,,,,,,,
2025-10-20,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,72,2025-10-20,,,20.63034736,0.1157412,○
2025-10-20,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",3,90,2025-10-20,,,20.63034736,0.1157412,○
2025-10-20,NO_2_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),1,24,2025-10-20,,,20.63034736,0.1157412,×
2025-10-20,NO_2_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),1,24,2025-10-20,,,20.63034736,0.1157412,×
,,,,,,,,,,,
2025-10-21,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,80,2025-10-21,,,23.7104295,0.1330212,○
2025-10-21,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",3,141,2025-10-21,,,23.7104295,0.1330212,○
2025-10-21,NO_2_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),1,80,2025-10-21,,,23.7104295,0.1330212,×
2025-10-21,NO_2_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),1,81,2025-10-21,,,23.7104295,0.1330212,×
2025-10-21,NO_2_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,56,2025-10-21,,,23.7104295,0.1330212,×
,,,,,,,,,,,
2025-10-22,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,64,2025-10-22,,,28.03965606,0.1573092,○
2025-10-22,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",4,144,2025-10-22,,,28.03965606,0.1573092,○
2025-10-22,NO_2_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),1,64,2025-10-22,,,28.03965606,0.1573092,×
2025-10-22,NO_2_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),1,63,2025-10-22,,,28.03965606,0.1573092,×
2025-10-22,NO_2_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,56,2025-10-22,,,28.03965606,0.1573092,×
,,,,,,,,,,,
2025-10-23,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,72,2025-10-23,,,23.7104295,0.1330212,○
