積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率(%),重量積載率(%),前倒し配送,体積積載率,重量積載率
2025-10-23,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-23,95.2,0,×,,
2025-10-23,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-23,95.2,0,×,,
2025-10-23,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-23,95.2,0,×,,
2025-10-23,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-23,93.7,0,×,,
2025-10-23,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),9,72,2025-10-24,98.6,0,×,,
2025-10-23,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),11,66,2025-10-24,98.6,0,×,,
2025-10-23,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",8,64,2025-10-24,98.6,0,×,,
2025-10-23,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",8,64,2025-10-24,98.6,0,×,,
2025-10-23,NO_5_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",6,18,2025-10-23,46.4,60,×,,
2025-10-23,NO_5_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",1,8,2025-10-24,46.4,60,×,,
,,,,,,,,,,,
2025-10-24,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",6,18,2025-10-27,95.2,0,○,,
2025-10-24,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",3,9,2025-10-24,95.2,0,×,,
2025-10-24,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",12,36,2025-10-24,95.2,0,×,,
2025-10-24,NO_4_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",4,12,2025-10-24,93.7,0,×,,
2025-10-24,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",16,48,2025-10-24,93.7,0,×,,
2025-10-24,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),8,64,2025-10-27,94.4,0,×,,
2025-10-24,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),12,69,2025-10-27,94.4,0,×,,
2025-10-24,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",6,48,2025-10-27,94.4,0,×,,
2025-10-24,NO_3_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",5,15,2025-10-24,94.4,0,×,,
2025-10-24,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",2,16,2025-10-27,94.4,0,×,,
,,,,,,,,,,,
2025-10-27,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025-10-27,44.5,0,×,,
2025-10-27,NO_2_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",4,12,2025-10-27,44.5,0,×,,
2025-10-27,NO_2_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",5,40,2025-10-27,44.5,0,×,,
2025-10-27,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-27,93.7,0,×,,
2025-10-27,NO_3_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",16,48,2025-10-27,69.3,0,×,,
